range_m,TL_coherent_dB,TL_incoherent_dB
8800.0,58.43318181318011,63.204501812771326
8850.0,63.52477490645369,63.2419159187768
8900.0,76.56270428755514,63.27914157082052
8950.0,61.18802239355173,63.31617267959898
9000.0,64.82500994481666,63.35302763320185
9050.0,62.52859328133905,63.38969753181062
9100.0,59.48330882443373,63.42619136021342
9150.0,61.231388518245005,63.4625017175356
9200.0,58.367315390536035,63.49864077696439
9250.0,60.75871344269945,63.534603478986455
9300.0,61.20296705927714,63.5703946253939
9350.0,66.21064907863601,63.606009939307874
9400.0,65.34410849841916,63.64145663761265
9450.0,67.89174038041511,63.67673976960199
9500.0,66.2277160684131,63.71185286830982
9550.0,75.52486705609167,63.74679950801331
9600.0,63.20588719087253,63.78158413085869
9650.0,67.1805791822311,63.816208140009046
9700.0,63.06542897875183,63.850675350875136
9750.0,56.64524627087801,63.88497701367501
9800.0,59.27825146654381,63.91912490702133
9850.0,62.02554399375964,63.95311906664617
9900.0,71.06238289041636,63.98695395277599
9950.0,70.82616154660346,64.02063681525587
10000.0,67.39140475819138,64.05416859096096
