range_m,TL_isovelocity_90m_dB,TL_thermocline_90m_dB,TL_isovelocity_10m_dB,TL_thermocline_10m_dB
8350.0,62.85778477396987,63.65801673714945,62.85960037989666,65.80607619707786
8400.0,62.89697687323709,64.17404390874752,62.898785161360315,65.00109819908866
8450.0,62.935960249514444,64.4620397106221,62.93776320041589,65.21406120799269
8500.0,62.97474338839601,65.65544773241274,62.976536602636855,65.48353746880511
8550.0,63.01332567226776,65.392517811723,63.01511399317508,64.31956999952132
8600.0,63.05170651403622,66.01935888301244,63.05348910256856,64.69128425516898
8650.0,63.089889687084614,66.19539217201844,63.09166280828502,63.38231055816535
8700.0,63.12787834732309,66.84762105035492,63.129645468169926,66.48528544301361
8750.0,63.16567356182877,66.1715497709662,63.16743382837345,66.44468433872986
8800.0,63.20327572388728,66.27159389003776,63.20502973499004,65.15882254837639
8850.0,63.24068674022329,66.67694099334925,63.242437307499834,65.51958256800275
8900.0,63.27791743666059,67.10053645954136,63.27965929874288,65.49556158951566
8950.0,63.31495738578657,66.64344919302548,63.31669484159441,65.63423099057141
9000.0,63.35181684002082,66.90075810946789,63.3535460649327,66.26859997714278
9050.0,63.38849431250771,61.03896241668167,63.39021367509599,66.60617592582972
9100.0,63.42498757511155,63.13314162845353,63.42670517599497,65.47456328634556
9150.0,63.46130795220387,63.29336301359663,63.46301768582442,66.74343754039847
9200.0,63.497446572287224,59.69997509563386,63.49915360175062,65.82036460957222
9250.0,63.53341191386485,61.25326766713621,63.53511311474114,65.52946912299852
9300.0,63.569206528292796,61.56188890881647,63.5709017895008,66.33723789951326
9350.0,63.60482844579958,58.2456728308894,63.60651535825919,66.08196529596876
9400.0,63.6402818448284,62.79455250797359,63.641964123429204,63.741634838280746
9450.0,63.6755655987305,62.54608380910536,63.67723619595299,65.36598454824284
9500.0,63.710708043659174,63.08237399892729,63.71238308873663,65.78013739162445
9550.0,63.74566096277324,63.92471477311113,63.74731785624058,67.4453299938981
9600.0,63.78043789202353,64.9197185711226,63.782102214812404,66.77553635899967
9650.0,63.815054185509446,65.0762689544925,63.81670397176195,65.4304610563214
9700.0,63.849587686989494,65.75945904881071,63.85123853232716,66.52153789077514
9750.0,63.88386923309987,67.34808611113145,63.885509209758425,66.66966305460073
9800.0,63.91798736237404,66.89339705195017,63.91962426711079,67.0882822844282
9850.0,63.952051968643524,67.76929625419628,63.953687335880396,67.07768974627331
9900.0,63.98604589117359,67.56367099009915,63.98766926814063,67.31709792160588
9950.0,64.01957022477062,68.38683154756103,64.02118702797024,64.4882088831382
10000.0,64.05326476273356,65.87806481723267,64.05485398282424,66.77649821886467
